Artist and Title;Artist ID;Title ID;Week;T10;Pk;(x?);PkStreams;Total;Date Precision;Release Date;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;type;uri;track_href;analysis_url;duration_ms;time_signature
The Weeknd-Blinding Lights;1Xyo4u8uXC1ZmMpatF05PJ;0VjIjW4GlUZAMYd2vXMi3b;1737;446;1;(x82);8,453,567;4,340,361,640; day; 2020-03-20;0,513;0,73;1;-5,94;1;0,0598;0,00143;0,0000954;0,0897;0,334;171,001;audio_features;spotify:track:0VjIjW4GlUZAMYd2vXMi3b;https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b;https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b;200040;4
Ed Sheeran-Shape of You;6eUKZXaKkcviH0Ku9w2n3V;7qiZfU4dY1lWllzX7mPBI3;2319;237;1;(x98);9,878,194;3,472,443,106; day; 2017-03-03;0,825;0,652;1;-3,183;0;0,0802;0,581;0;0,0931;0,931;95,977;audio_features;spotify:track:7qiZfU4dY1lWllzX7mPBI3;https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3;https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3;233713;4
Harry Styles-As It Was;6KImCVD70vtIoJWnq6nGn3;4Dvkj6JhhA12EX05fT7y2e;884;426;1;(x81);16,103,849;3,453,419,449; day; 2022-05-20;0,52;0,731;6;-5,338;0;0,0557;0,342;0,00101;0,311;0,662;173,93;audio_features;spotify:track:4Dvkj6JhhA12EX05fT7y2e;https://api.spotify.com/v1/tracks/4Dvkj6JhhA12EX05fT7y2e;https://api.spotify.com/v1/audio-analysis/4Dvkj6JhhA12EX05fT7y2e;167303;4
Lewis Capaldi-Someone You Loved;4GNC7GD6oZMSxPGyXy4MNB;7qEHsqek33rTcFNT9PFqLf;2049;107;4;;3,974,554;3,445,509,799; day; 2019-05-17;0,501;0,405;1;-5,679;1;0,0319;0,751;0;0,105;0,446;109,891;audio_features;spotify:track:7qEHsqek33rTcFNT9PFqLf;https://api.spotify.com/v1/tracks/7qEHsqek33rTcFNT9PFqLf;https://api.spotify.com/v1/audio-analysis/7qEHsqek33rTcFNT9PFqLf;182161;4
Post Malone-Sunflower - Spider-Man: Into the Spider-Verse;246dkjvS1zLTtiykXe5h60;0RiRZpuVRbi7oqRdSMwhQY;2088;213;1;(x16);5,033,261;3,325,160,255; day; 2019-09-06;0,755;0,522;2;-4,368;1;0,0575;0,533;0;0,0685;0,925;89,96;audio_features;spotify:track:0RiRZpuVRbi7oqRdSMwhQY;https://api.spotify.com/v1/tracks/0RiRZpuVRbi7oqRdSMwhQY;https://api.spotify.com/v1/audio-analysis/0RiRZpuVRbi7oqRdSMwhQY;157560;4
The Kid LAROI-Stay;2tIP7SsRs7vjIcLrU85W8J;5PjdY0CKGZdEuoNab3yDmX;1091;299;1;(x84);10,629,302;3,072,310,865; day; 2021-07-23;0,591;0,764;1;-5,484;1;0,0483;0,0383;0;0,103;0,478;169,928;audio_features;spotify:track:5PjdY0CKGZdEuoNab3yDmX;https://api.spotify.com/v1/tracks/5PjdY0CKGZdEuoNab3yDmX;https://api.spotify.com/v1/audio-analysis/5PjdY0CKGZdEuoNab3yDmX;141806;4
Imagine Dragons-Believer;53XhwfbYqKCa1cC15pYq2q;0pqnGHJpmpxLKifKRmU6WP;2716;;15;;2,572,100;3,008,638,882; day; 2017-06-23;0,776;0,78;10;-4,374;0;0,128;0,0622;0;0,081;0,666;124,949;audio_features;spotify:track:0pqnGHJpmpxLKifKRmU6WP;https://api.spotify.com/v1/tracks/0pqnGHJpmpxLKifKRmU6WP;https://api.spotify.com/v1/audio-analysis/0pqnGHJpmpxLKifKRmU6WP;204347;4
Glass Animals-Heat Waves;4yvcSjfu4PC0CYQyLy4wSq;02MWAaffLxlfxAUY7c5dvx;1291;258;1;(x65);5,003,951;2,915,014,250; day; 2020-08-06;0,761;0,525;11;-6,9;1;0,0944;0,44;0,0000067;0,0921;0,531;80,87;audio_features;spotify:track:02MWAaffLxlfxAUY7c5dvx;https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx;https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx;238805;4
Billie Eilish-lovely;6qqNVTkY8uBg9cP3Jd7DAH;0u2P5u6lvoDfwTYjAADbn4;2312;;19;;2,085,328;2,843,407,126; day; 2018-04-19;0,351;0,296;4;-10,109;0;0,0333;0,934;0;0,095;0,12;115,284;audio_features;spotify:track:0u2P5u6lvoDfwTYjAADbn4;https://api.spotify.com/v1/tracks/0u2P5u6lvoDfwTYjAADbn4;https://api.spotify.com/v1/audio-analysis/0u2P5u6lvoDfwTYjAADbn4;200186;4
Ed Sheeran-Perfect;6eUKZXaKkcviH0Ku9w2n3V;0tgVpDi06FyKpA1z0VMD4v;2560;102;3;(x1);3,690,839;2,800,311,698; day; 2017-03-03;0,599;0,448;8;-6,312;1;0,0232;0,163;0;0,106;0,168;95,05;audio_features;spotify:track:0tgVpDi06FyKpA1z0VMD4v;https://api.spotify.com/v1/tracks/0tgVpDi06FyKpA1z0VMD4v;https://api.spotify.com/v1/audio-analysis/0tgVpDi06FyKpA1z0VMD4v;263400;3
